AIRPORT,Year,Month,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total,latitude,longitude
ADELAIDE,2007,12,251898,254717,506615,20782,24156,44938,272680,278873,551553,-34.9462,138.5332
ALICE SPRINGS,2007,12,21739,24479,46218,0,0,0,21739,24479,46218,-23.8016,133.9035
BALLINA,2007,12,14994,14375,29369,0,0,0,14994,14375,29369,-28.8351,153.5596
BRISBANE,2007,12,622177,609311,1231488,170259,191223,361482,792436,800534,1592970,-27.3942,153.1218
CAIRNS,2007,12,123626,120637,244263,27776,27050,54826,151402,147687,299089,-16.8778,145.7499
CANBERRA,2007,12,104280,109403,213683,0,0,0,104280,109403,213683,-35.3052,149.1934
DARWIN,2007,12,50793,58463,109256,6344,10152,16496,57137,68615,125752,-12.4154,130.8829
GOLD COAST,2007,12,176228,173168,349396,11860,14485,26345,188088,187653,375741,-28.1669,153.5135
HAMILTON ISLAND,2007,12,20736,19989,40725,0,0,0,20736,19989,40725,-20.3517,148.9488
HOBART,2007,12,79900,74360,154260,0,0,0,79900,74360,154260,-42.8364,147.5075
KARRATHA,2007,12,12207,16626,28833,0,0,0,12207,16626,28833,-20.7337,116.8447
LAUNCESTON,2007,12,54517,50551,105068,0,0,0,54517,50551,105068,-41.5431,147.2073
MACKAY,2007,12,35243,36057,71300,0,0,0,35243,36057,71300,-21.1706,149.1808
MELBOURNE,2007,12,805261,826024,1631285,197752,227813,425565,1003013,1053837,2056850,-37.669,144.841
PERTH,2007,12,277894,274396,552290,113436,127961,241397,391330,402357,793687,-31.9385,115.9672
ROCKHAMPTON,2007,12,29155,29169,58324,0,0,0,29155,29169,58324,-23.3781,150.4762
SUNSHINE COAST,2007,12,41707,40284,81991,0,0,0,41707,40284,81991,-26.6038,153.09
SYDNEY,2007,12,938335,918679,1857014,460496,521864,982360,1398831,1440543,2839374,-33.9399,151.1753
TOWNSVILLE,2007,12,55984,58108,114092,0,0,0,55984,58108,114092,-19.2563,146.7712
NEWCASTLE,2007,12,43554,42513,86067,0,0,0,43554,42513,86067,-32.8042,151.8399
